央视高清,#genre#
CCTV1,http://cfss.cc/api/ysp/cctv1.m3u8
CCTV2,http://cfss.cc/api/ysp/cctv2.m3u8
CCTV3,http://cfss.cc/api/ysp/cctv3.m3u8
CCTV4,http://cfss.cc/api/ysp/cctv4.m3u8
CCTV5,http://cfss.cc/api/ysp/cctv5.m3u8
CCTV5+,http://cfss.cc/api/ysp/cctv5p.m3u8
CCTV6,http://cfss.cc/api/ysp/cctv6.m3u8
CCTV7,http://cfss.cc/api/ysp/cctv7.m3u8
CCTV8,http://cfss.cc/api/ysp/cctv8.m3u8
CCTV9,http://cfss.cc/api/ysp/cctv9.m3u8
CCTV10,http://cfss.cc/api/ysp/cctv10.m3u8
CCTV11,http://cfss.cc/api/ysp/cctv11.m3u8
CCTV12,http://cfss.cc/api/ysp/cctv12.m3u8
CCTV13,http://cfss.cc/api/ysp/cctv13.m3u8
CCTV14,http://cfss.cc/ds/bst.php?id=Cf-15
CCTV15,http://cfss.cc/api/ysp/cctv15.m3u8
CCTV4K,http://cfss.cc/api/ysp/cctv4k.m3u8
CCTV16,http://cfss.cc/api/ysp/cctv16.m3u8

央视频,#genre#
CCTV-1,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000210103.m3u8
CCTV-2,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203603.m3u8
CCTV-3,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203803.m3u8
CCTV-4,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV-5,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000205103.m3u8
CCTV-5+,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204503.m3u8
CCTV-6,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203303.m3u8
CCTV-7,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000510003.m3u8
CCTV-8,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203903.m3u8
CCTV-9,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000499403.m3u8
CCTV-10,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000203503.m3u8
CCTV-11,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204103.m3u8
CCTV-12,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000202603.m3u8
CCTV-13,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204603.m3u8
CCTV-14,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204403.m3u8
CCTV-15,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000205003.m3u8
CCTV-16,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012375003.m3u8
CCTV-16 4K,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012492303.m3u8
CCTV-17,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000204203.m3u8
CCTV-4K,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000266303.m3u8
CCTV-8K,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2020603421.m3u8
兵器科技,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513403.m3u8
第一剧场,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514403.m3u8
怀旧剧场,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012511203.m3u8
风云剧场,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513603.m3u8
风云音乐,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514103.m3u8
风云足球,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514203.m3u8
电视指南,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514003.m3u8
女性时尚,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513903.m3u8
央视文化精品,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513803.m3u8
世界地理,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513303.m3u8
高尔夫网球,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012512503.m3u8
央视台球,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513703.m3u8
卫生健康,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513503.m3u8
CGTN,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2001656803.m3u8
CGTN纪录,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010155403.m3u8
CGTN西语,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010152503.m3u8
CGTN法语,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010153503.m3u8
CGTN阿语,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010155203.m3u8
CGTN俄语,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2010152603.m3u8
北京卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000272103.m3u8
东方卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000292403.m3u8
天津卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2019927003.m3u8
重庆卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000297803.m3u8
黑龙江卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000293903.m3u8
辽宁卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000281303.m3u8
河北卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000293403.m3u8
山东卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294803.m3u8
安徽卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000298003.m3u8
河南卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000296103.m3u8
湖北卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294503.m3u8
湖南卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000296203.m3u8
江西卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294103.m3u8
江苏卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000295603.m3u8
浙江卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000295503.m3u8
东南卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000292503.m3u8
广东卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000292703.m3u8
深圳卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000292203.m3u8
广西卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000294203.m3u8
贵州卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000293303.m3u8
四川卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000295003.m3u8
新疆卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2019927403.m3u8
海南卫视,http://180.97.247.27/tlivecloud-ipv6.ysp.cctv.cn/ysp/2000291503.m3u8

池州电信,#genre#
CCTV1,https://live.metshop.top/msp.php?id=cctv1
CCTV2,https://live.metshop.top/msp.php?id=cctv2
CCTV3,https://live.metshop.top/msp.php?id=cctv3
CCTV4,https://live.metshop.top/msp.php?id=cctv4
CCTV5,https://live.metshop.top/msp.php?id=cctv5
CCTV5+,https://live.metshop.top/msp.php?id=cctv5p
CCTV6,https://live.metshop.top/msp.php?id=cctv6
CCTV7,https://live.metshop.top/msp.php?id=cctv7
CCTV8,https://live.metshop.top/msp.php?id=cctv8
CCTV9,https://live.metshop.top/msp.php?id=cctv9
CCTV10,https://live.metshop.top/msp.php?id=cctv10
CCTV11,https://live.metshop.top/msp.php?id=cctv11
CCTV12,https://live.metshop.top/msp.php?id=cctv12
CCTV13,https://live.metshop.top/msp.php?id=cctv13
CCTV14,https://live.metshop.top/msp.php?id=cctv14
CCTV15,https://live.metshop.top/msp.php?id=cctv15
CCTV16,https://live.metshop.top/msp.php?id=cctv16
CCTV16-4k,https://live.metshop.top/msp.php?id=cctv16-4k
CCTV17,https://live.metshop.top/msp.php?id=cctv17
CCTV4K,https://live.metshop.top/msp.php?id=cctv4k
CCTV8K,https://live.metshop.top/msp.php?id=cctv8k
CCTV兵器科技,https://live.metshop.top/msp.php?id=bqkj
CCTV第一剧场,https://live.metshop.top/msp.php?id=dyjc
CCTV怀旧剧场,https://live.metshop.top/msp.php?id=hjjc
CCTV风云剧场,https://live.metshop.top/msp.php?id=fyjc
CCTV风云音乐,https://live.metshop.top/msp.php?id=fyyy
CCTV风云足球,https://live.metshop.top/msp.php?id=fyzq
CCTV电视指南,https://live.metshop.top/msp.php?id=dszn
CCTV女性时尚,https://live.metshop.top/msp.php?id=nxss
CCTV央视文化精品,https://live.metshop.top/msp.php?id=whjp
CCTV世界地理,https://live.metshop.top/msp.php?id=sjdl
CCTV高尔夫网球,https://live.metshop.top/msp.php?id=gefwq
CCTV央视台球,https://live.metshop.top/msp.php?id=ystq
CCTV卫生健康,https://live.metshop.top/msp.php?id=wsjk
CGTN,https://live.metshop.top/msp.php?id=cgtn
CGTN纪录,https://live.metshop.top/msp.php?id=cgtnjl
CGTN西语,https://live.metshop.top/msp.php?id=cgtne
CGTN法语,https://live.metshop.top/msp.php?id=cgtnf
CGTN阿语,https://live.metshop.top/msp.php?id=cgtna
CGTN俄语,https://live.metshop.top/msp.php?id=cgtnr
北京卫视,https://live.metshop.top/msp.php?id=bjws
东方卫视,https://live.metshop.top/msp.php?id=dfws
天津卫视,https://live.metshop.top/msp.php?id=tjws
重庆卫视,https://live.metshop.top/msp.php?id=cqws
黑龙江卫视,https://live.metshop.top/msp.php?id=hljws
辽宁卫视,https://live.metshop.top/msp.php?id=lnws
河北卫视,https://live.metshop.top/msp.php?id=hbws
山东卫视,https://live.metshop.top/msp.php?id=sdws
安徽卫视,https://live.metshop.top/msp.php?id=ahws
河南卫视,https://live.metshop.top/msp.php?id=hnws
湖北卫视,https://live.metshop.top/msp.php?id=hubws
湖南卫视,https://live.metshop.top/msp.php?id=hunws
江西卫视,https://live.metshop.top/msp.php?id=jxws
江苏卫视,https://live.metshop.top/msp.php?id=jsws
浙江卫视,https://live.metshop.top/msp.php?id=zjws
东南卫视,https://live.metshop.top/msp.php?id=dnws
广东卫视,https://live.metshop.top/msp.php?id=gdws
深圳卫视,https://live.metshop.top/msp.php?id=szws
广西卫视,https://live.metshop.top/msp.php?id=gxws
贵州卫视,https://live.metshop.top/msp.php?id=gzws
四川卫视,https://live.metshop.top/msp.php?id=scws
新疆卫视,https://live.metshop.top/msp.php?id=xjws
海南卫视,https://live.metshop.top/msp.php?id=hinws

广东酒店,#genre#
CCTV1,http://121.33.239.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&url=tvzb.com
CCTV2,http://121.33.239.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&url=tvzb.com
CCTV3,http://121.33.239.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&url=tvzb.com
CCTV4,http://121.33.239.242:9901/tsfile/live/0004_1.m3u8?key=txiptv&url=tvzb.com
CCTV5,http://121.33.239.242:9901/tsfile/live/0005_1.m3u8?key=txiptv&url=tvzb.com
CCTV6,http://121.33.239.242:9901/tsfile/live/0006_1.m3u8?key=txiptv&url=tvzb.com
